id,unique_id,raceid,racetype,racetypeid,ballotorder,candidateid,description,electiondate,fipscode,first,incumbent,initialization_data,is_ballot_measure,last,lastupdated,level,national,officeid,officename,party,polid,polnum,precinctsreporting,precinctsreportingpct,precinctstotal,reportingunitid,reportingunitname,runoff,seatname,seatnum,statename,statepostal,test,uncontested,votecount,votepct,winner
16672-polid-100007-16006,polid-100007,16672,Caucus,E,5,22343,,2016-02-01,19011,,False,False,,Other,2016-02-02T18:05:32Z,county,True,P,President,Dem,100007,17474,19,100.0,19,16006,Benton,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-22603-16006,polid-22603,16672,Caucus,E,2,22312,,2016-02-01,19011,Martin,False,False,,O'Malley,2016-02-02T18:05:32Z,county,True,P,President,Dem,22603,18857,19,100.0,19,16006,Benton,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-1746-16007,polid-1746,16672,Caucus,E,1,22310,,2016-02-01,19013,Hillary,False,False,,Clinton,2016-02-02T18:05:32Z,county,True,P,President,Dem,1746,18855,62,100.0,62,16007,Black Hawk,False,,,Iowa,IA,False,False,3220,0.466734,True
16672-polid-1445-16007,polid-1445,16672,Caucus,E,3,22311,,2016-02-01,19013,Bernie,False,False,,Sanders,2016-02-02T18:05:32Z,county,True,P,President,Dem,1445,18856,62,100.0,62,16007,Black Hawk,False,,,Iowa,IA,False,False,3647,0.528627,False
16672-polid-100004-16007,polid-100004,16672,Caucus,E,4,22340,,2016-02-01,19013,,False,False,,Uncommitted,2016-02-02T18:05:32Z,county,True,P,President,Dem,100004,16613,62,100.0,62,16007,Black Hawk,False,,,Iowa,IA,False,False,16,0.002319,False
16672-polid-22603-16007,polid-22603,16672,Caucus,E,2,22312,,2016-02-01,19013,Martin,False,False,,O'Malley,2016-02-02T18:05:32Z,county,True,P,President,Dem,22603,18857,62,100.0,62,16007,Black Hawk,False,,,Iowa,IA,False,False,16,0.002319,False
16672-polid-100007-16007,polid-100007,16672,Caucus,E,5,22343,,2016-02-01,19013,,False,False,,Other,2016-02-02T18:05:32Z,county,True,P,President,Dem,100007,17474,62,100.0,62,16007,Black Hawk,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-1746-16008,polid-1746,16672,Caucus,E,1,22310,,2016-02-01,19015,Hillary,False,False,,Clinton,2016-02-02T18:05:32Z,county,True,P,President,Dem,1746,18855,15,100.0,15,16008,Boone,False,,,Iowa,IA,False,False,585,0.45,True
16672-polid-1445-16008,polid-1445,16672,Caucus,E,3,22311,,2016-02-01,19015,Bernie,False,False,,Sanders,2016-02-02T18:05:32Z,county,True,P,President,Dem,1445,18856,15,100.0,15,16008,Boone,False,,,Iowa,IA,False,False,715,0.55,False
16672-polid-100004-16008,polid-100004,16672,Caucus,E,4,22340,,2016-02-01,19015,,False,False,,Uncommitted,2016-02-02T18:05:32Z,county,True,P,President,Dem,100004,16613,15,100.0,15,16008,Boone,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-100007-16008,polid-100007,16672,Caucus,E,5,22343,,2016-02-01,19015,,False,False,,Other,2016-02-02T18:05:32Z,county,True,P,President,Dem,100007,17474,15,100.0,15,16008,Boone,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-22603-16008,polid-22603,16672,Caucus,E,2,22312,,2016-02-01,19015,Martin,False,False,,O'Malley,2016-02-02T18:05:32Z,county,True,P,President,Dem,22603,18857,15,100.0,15,16008,Boone,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-1746-16009,polid-1746,16672,Caucus,E,1,22310,,2016-02-01,19017,Hillary,False,False,,Clinton,2016-02-02T18:05:32Z,county,True,P,President,Dem,1746,18855,13,100.0,13,16009,Bremer,False,,,Iowa,IA,False,False,640,0.533333,True
